序号,PROJECT,USER_COUNT,PR_COUNT,START_TIME,END_TIME,代码行数,主要语言,文件总数,分支个数,STAR数
41,vuejs/vue,741,1612,2014/2/4 22:49,2019/9/13 14:34,141941,JavaScript,545,42,154536
12,facebook/react,2297,8361,2013/5/29 20:20,2019/8/1 3:04,256192,JavaScript,1646,38,141351
36,tensorflow/tensorflow,2978,11815,2015/11/9 16:54,2019/8/1 0:30,2427550,C++,19116,40,139306
38,twbs/bootstrap,3568,9603,2011/8/19 18:53,2019/9/16 14:36,85186,JavaScript,457,63,137786
9,EbookFoundation/free-programming-books,1353,2885,2013/10/11 16:55,2019/9/14 13:00,6980,Markdown,62,13,133956
34,sindresorhus/awesome,1006,1365,2014/7/12 3:44,2019/9/14 12:40,858,Markdown,19,3,122212
15,getify/You-Dont-Know-JS,489,731,2013/11/16 5:51,2019/9/11 16:38,23103,Markdown,73,5,113624
33,robbyrussell/oh-my-zsh,3410,5106,2010/8/31 18:46,2019/7/31 20:35,24409,zsh,814,2,100850
16,github/gitignore,2526,3138,2010/11/8 20:46,2019/9/17 0:22,165,Markdown,232,7,93175
20,kamranahmedse/developer-roadmap,114,124,2017/3/16 21:13,2019/8/28 11:27,57,Markdown,9,3,92313
1,airbnb/javascript,661,1000,2015/2/22 19:15,2019/9/16 10:41,6649,Markdown,55,3,91375
7,d3/d3,414,1087,2010/11/23 0:27,2019/8/23 13:13,2428,Markdown,13,26,89228
24,microsoft/vscode,1748,5876,2015/11/16 6:43,2019/9/17 5:54,921169,TypeScript,4062,361,89193
6,CyC2018/CS-Notes,259,440,2018/2/23 9:56,2019/9/17 15:54,58907,Markdown,2118,2,86584
37,torvalds/linux,567,690,2011/9/5 17:45,2019/9/14 17:34,18815446,C,66448,2,84384
13,facebook/react-native,3108,8799,2015/1/28 3:45,2019/9/17 5:41,418861,JavaScript,3887,105,83514
14,flutter/flutter,731,14300,2015/11/10 0:34,2019/9/18 0:23,607105,Dart,3812,20,82433
10,electron/electron,1180,8618,2013/6/19 13:35,2019/9/16 21:52,137744,C++/TypeScript,1762,176,79586
39,vinta/awesome-python,892,1193,2014/6/30 2:22,2019/9/17 6:42,1150,Markdown,14,3,77209
11,facebook/create-react-app,1453,2716,2016/7/17 17:45,2019/9/16 19:27,22256,JavaScript,495,6,74671
30,public-apis/public-apis,645,892,2016/3/21 1:02,2019/9/17 6:38,1192,Markdown,10,3,67969
35,tensorflow/models,1101,2819,2016/2/19 23:57,2019/9/17 17:14,316201,Python,2819,139,60547
2,angular/angular.js,3035,7779,2010/9/8 15:59,2019/7/30 13:32,260760,JavaScript,1558,18,59621
43,ytdl-org/youtube-dl,1513,3497,2010/11/4 20:58,2019/9/17 0:47,126567,Python,922,6,59382
26,mrdoob/three.js,1768,8406,2010/9/3 11:15,2019/9/17 15:01,395198,JavaScript,3126,5,57443
17,GoogleChrome/puppeteer,370,1657,2017/6/19 21:36,2019/9/17 13:02,29039,JavaScript,316,2,57047
21,laravel/laravel,1673,3461,2011/6/10 18:43,2019/9/17 21:21,1769,PHP,86,13,56803
23,microsoft/TypeScript,797,9928,2014/7/14 23:53,2019/9/17 22:39,1799932,JavaScript,53617,336,56732
27,mui-org/material-ui,2221,8010,2014/10/9 1:14,2019/9/17 16:51,235657,JavaScript,9710,9,53202
19,jquery/jquery,912,2523,2010/9/3 1:14,2019/9/16 19:58,38891,JavaScript,268,5,52759
42,webpack/webpack,865,3013,2012/5/1 4:21,2019/9/18 6:09,109225,JavaScript,4236,46,52334
32,reduxjs/redux,1144,1877,2015/6/2 18:13,2019/9/12 9:12,180851,JSON,388,4,51785
40,vuejs/awesome-vue,1680,2794,2015/10/20 0:34,2019/9/18 18:24,5106,Markdown,4,7,51044
3,atom/atom,911,4569,2012/1/21 18:39,2019/9/17 21:50,198763,JavaScript,1170,118,50753
18,hakimel/reveal.js,567,792,2011/6/7 20:53,2019/9/3 1:59,24638,JavaScript,102,9,49645
29,pallets/flask,926,1569,2010/9/1 3:05,2019/9/10 13:29,10323,Python,209,5,48122
5,chartjs/Chart.js,642,1767,2013/3/18 16:23,2019/9/18 10:30,66732,JavaScript,540,5,46575
8,django/django,3198,11778,2012/4/28 7:32,2019/9/18 14:14,273389,Python,4359,22,46078
25,moment/moment,997,1772,2011/6/16 18:51,2019/9/18 19:25,167832,JavaScript,608,21,43034
22,lodash/lodash,542,994,2012/4/23 2:49,2019/9/16 11:09,29699,JavaScript,713,7,42923
31,pytorch/pytorch,1340,16161,2016/8/16 21:30,2019/9/20 4:34,913270,C++ ,6110,2568,34855
28,odoo/odoo,1671,26403,2014/5/14 6:11,2019/10/27 16:58,983574,Javascript/XML/Python,22454,65,16182
4,ceph/ceph,1179,30752,2011/9/22 4:03,2019/11/9 18:40,1227945,C++,7943,55,7187
